"Địa phương","2002 Tổng số","2002 Tiểu học","2002 Trung học cơ sở","2002 Trung học phổ thông","2003 Tổng số","2003 Tiểu học","2003 Trung học cơ sở","2003 Trung học phổ thông","2004 Tổng số","2004 Tiểu học","2004 Trung học cơ sở","2004 Trung học phổ thông","2005 Tổng số","2005 Tiểu học","2005 Trung học cơ sở","2005 Trung học phổ thông","2006 Tổng số","2006 Tiểu học","2006 Trung học cơ sở","2006 Trung học phổ thông","2007 Tổng số","2007 Tiểu học","2007 Trung học cơ sở","2007 Trung học phổ thông","2008 Tổng số","2008 Tiểu học","2008 Trung học cơ sở","2008 Trung học phổ thông","2009 Tổng số","2009 Tiểu học","2009 Trung học cơ sở","2009 Trung học phổ thông","2010 Tổng số","2010 Tiểu học","2010 Trung học cơ sở","2010 Trung học phổ thông","2011 Tổng số","2011 Tiểu học","2011 Trung học cơ sở","2011 Trung học phổ thông","2012 Tổng số","2012 Tiểu học","2012 Trung học cơ sở","2012 Trung học phổ thông","2013 Tổng số","2013 Tiểu học","2013 Trung học cơ sở","2013 Trung học phổ thông","2014 Tổng số","2014 Tiểu học","2014 Trung học cơ sở","2014 Trung học phổ thông","2015 Tổng số","2015 Tiểu học","2015 Trung học cơ sở","2015 Trung học phổ thông","2016 Tổng số","2016 Tiểu học","2016 Trung học cơ sở","2016 Trung học phổ thông","2017 Tổng số","2017 Tiểu học","2017 Trung học cơ sở","2017 Trung học phổ thông","2018 Tổng số","2018 Tiểu học","2018 Trung học cơ sở","2018 Trung học phổ thông","2019 Tổng số","2019 Tiểu học","2019 Trung học cơ sở","2019 Trung học phổ thông"
"CẢ NƯỚC",17699628,8815717,6429748,2454163,17505386,8345974,6569789,2589623,17122672,7744837,6616747,2761088,16649196,7304000,6371260,2973936,16256654,7029424,6152040,3075190,15685244,6860342,5803261,3021641,15127874,6731603,5468711,2927560,14912114,6907987,5163245,2840882,14792830,7043307,4945178,2804345,14781561,7100950,4926401,2754210,14747078,7202767,4869839,2674472,14900686,7435600,4932390,2532696,15082381,7543632,5098830,2439919,15353785,7790009,5138646,2425130,15514259,7801560,5235524,2477175,15923718,8041842,5373312,2508564,16558282,8541451,5456884,2559947,17042306,8741545,5646766,2653995
"Đồng bằng sông Hồng",3854343,1668289,1525283,660771,3770728,1585341,1509350,676037,3688941,1478452,1500195,710294,3576562,1404004,1408511,764047,3496988,1374854,1327543,794591,3381971,1343499,1256021,782451,3243224,1331379,1168276,743569,3191942,1372490,1104169,715283,3191548,1410018,1081304,700226,3159239,1431880,1053902,673457,3177250,1486557,1045492,645201,3234718,1579862,1041651,613205,3306614,1629525,1090022,587067,3399055,1716012,1106173,576870,3503148,1775283,1145867,581998,3648083,1860472,1195790,591821,3890002,2021081,1249866,619055,4049390,2083595,1315907,649888
"Hà Nội",503132,219925,180226,102981,497298,217863,179351,100084,495941,207224,185484,103233,491591,203259,180236,108096,495240,201992,176734,116514,495456,201359,174168,119929,981180,411202,345685,224293,982579,440843,325360,216376,1021634,469622,339170,212842,1027260,492604,321695,212961,1049503,520355,322676,206472,1090168,564383,330531,195254,1138326,587471,362453,188402,1181668,618745,382044,180879,1240038,641554,407550,190934,1302216,678739,426924,196553,1403900,738864,447906,217130,1475445,765571,474429,235445
"Hà Tây",544383,231368,210165,102850,535666,220645,207855,107166,525427,209452,204364,111611,511085,198956,192161,119968,494351,194278,181675,118398,475264,191459,172459,111346,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Vĩnh Phúc",256114,112442,101372,42300,252047,106120,100267,45660,245742,98420,100057,47265,234620,91684,94542,48394,225702,88231,88776,48695,217932,85993,83471,48468,176304,70906,64519,40879,172079,72599,60367,39113,169364,75452,56496,37416,169231,77981,55713,35537,170630,81949,54959,33722,173873,87769,54844,31260,178264,91919,57543,28802,183702,97061,58576,28065,191457,101268,62093,28096,200508,105801,66289,28418,216921,116240,71238,29443,226657,121686,74645,30326
"Bắc Ninh",229896,98905,88251,42740,226978,93905,88676,44397,223535,88255,88042,47238,217309,83657,82701,50951,213836,82702,78106,53028,206272,80949,73753,51570,196869,79662,69208,47999,192468,80841,66314,45313,190459,82071,63672,44716,188359,83016,63145,42198,188737,85338,62779,40620,191878,90195,62554,39129,195216,93143,64376,37697,200871,97871,64783,38217,205552,100728,66570,38254,215094,106948,68790,39356,227304,117093,71871,38340,240925,123948,75970,41007
"Quảng Ninh",229780,109881,83636,36263,226929,104595,85167,37167,225076,97489,86928,40659,221397,91395,85433,44569,220297,87251,83616,49430,212563,86008,79415,47140,203929,84585,73748,45596,201067,86355,70360,44352,202941,87675,66774,48492,196272,88094,66089,42089,196575,90404,65712,40459,201039,96673,65642,38724,200710,99592,64609,36509,212855,106914,68223,37718,218588,111362,69320,37906,227257,116355,72758,38144,239597,125182,75923,38492,249081,128264,81483,39334
"Hải Dương",356775,145128,150681,60966,345834,138638,145530,61666,333252,128695,140040,64517,318912,122809,127540,68563,309327,120479,118135,70713,299051,119154,110792,69105,285432,116639,103029,65764,279664,117058,99745,62861,272645,117645,95205,59795,267777,117105,94868,55804,269837,120447,95557,53833,268765,126259,90985,51521,274576,129867,93823,50886,281619,139346,92037,50236,288186,146165,92658,49363,300877,154747,96305,49825,318661,167636,100665,50360,328192,171984,105320,50888
"Hải Phòng",351211,149377,141438,60396,342310,140562,138289,63459,334119,128844,137457,67818,323403,120778,128668,73957,315403,117101,120310,77992,304992,114308,113162,77522,291855,112599,103509,75747,284851,116620,96281,71950,282245,120906,90806,70533,273312,121772,88365,63175,277786,128740,88700,60346,283115,138730,87509,56876,290109,145216,92154,52739,301220,154898,93709,52613,313035,163184,96969,52882,329299,172244,103643,53412,354282,187422,109311,57549,371658,192337,117497,61824
"Hưng Yên",241108,102308,101010,37790,235516,96125,99815,39576,231140,89157,98504,43479,222561,84637,89282,48642,215756,82482,81987,51287,205752,80664,76917,48171,191025,77602,69863,43560,184640,76924,66568,41148,179944,77757,63568,38619,178193,78361,62602,37230,177555,80503,59929,37123,179750,85985,59128,34637,182573,89151,60343,33079,186947,94706,59562,32679,192507,98298,61615,32594,200710,102801,64926,32983,215295,112497,69402,33396,224383,116912,74004,33467
