"Ðịa phương","2002 Tổng số","2002 Tiểu học","2002 Trung học cơ sở","2002 Trung học phổ thông","2003 Tổng số","2003 Tiểu học","2003 Trung học cơ sở","2003 Trung học phổ thông","2004 Tổng số","2004 Tiểu học","2004 Trung học cơ sở","2004 Trung học phổ thông","2005 Tổng số","2005 Tiểu học","2005 Trung học cơ sở","2005 Trung học phổ thông","2006 Tổng số","2006 Tiểu học","2006 Trung học cơ sở","2006 Trung học phổ thông","2007 Tổng số","2007 Tiểu học","2007 Trung học cơ sở","2007 Trung học phổ thông","2008 Tổng số","2008 Tiểu học","2008 Trung học cơ sở","2008 Trung học phổ thông","2009 Tổng số","2009 Tiểu học","2009 Trung học cơ sở","2009 Trung học phổ thông","2010 Tổng số","2010 Tiểu học","2010 Trung học cơ sở","2010 Trung học phổ thông","2011 Tổng số","2011 Tiểu học","2011 Trung học cơ sở","2011 Trung học phổ thông","2012 Tổng số","2012 Tiểu học","2012 Trung học cơ sở","2012 Trung học phổ thông","2013 Tổng số","2013 Tiểu học","2013 Trung học cơ sở","2013 Trung học phổ thông","2014 Tổng số","2014 Tiểu học","2014 Trung học cơ sở","2014 Trung học phổ thông","2015 Tổng số","2015 Tiểu học","2015 Trung học cơ sở","2015 Trung học phổ thông","2016 Tổng số","2016 Tiểu học","2016 Trung học cơ sở","2016 Trung học phổ thông","2017 Tổng số","2017 Tiểu học","2017 Trung học cơ sở","2017 Trung học phổ thông","2018 Tổng số","2018 Tiểu học","2018 Trung học cơ sở","2018 Trung học phổ thông","2019 Tổng số","2019 Tiểu học","2019 Trung học cơ sở","2019 Trung học phổ thông"
"CẢ NƯỚC",522267,308807,161329,52131,520852,299418,165650,55784,519676,288903,170916,59857,508763,276624,167486,64653,501191,270143,163842,67206,495202,266422,160142,68638,485977,265058,154051,66868,484436,268077,149955,66404,490474,272419,151226,66829,488067,274733,147085,66249,486283,275010,145387,65886,490771,278982,147441,64348,494459,279862,150693,63904,501033,283490,153438,64105,494289,277526,151669,65094,499362,279974,153582,65806,498667,280179,151986,66502,503332,281565,154162,67605
"Ðồng bằng sông Hồng",104311,53806,37255,13250,103053,51875,37371,13807,102538,49770,38318,14450,99802,47849,36479,15474,98008,46920,34913,16175,96482,46197,33875,16410,95181,46450,32644,16087,94487,46688,31985,15814,94288,47557,31119,15612,95322,48564,31356,15402,95017,49036,30858,15123,96335,50152,31410,14773,97308,51199,31429,14680,102604,55361,32652,14591,100590,53201,32537,14852,103462,55437,32902,15123,105975,57036,33488,15451,109059,58357,34702,16000
"     Hà Nội",12608,5949,4494,2165,12662,5902,4540,2220,12746,5858,4589,2299,12764,5804,4527,2433,12845,5738,4495,2612,12857,5706,4474,2677,27619,13253,9358,5008,27552,13424,9189,4939,27967,13889,9093,4985,27908,13928,9007,4973,28276,14390,9000,4886,28847,14931,9134,4782,29951,15459,9668,4824,35027,19205,11040,4782,32344,16418,10986,4940,33292,17116,11074,5102,35150,18238,11494,5418,37086,19048,12166,5872
"     Hà Tây",14610,7382,5192,2036,14514,7226,5179,2109,14310,6950,5135,2225,14089,6773,4971,2345,13846,6645,4836,2365,13558,6578,4691,2289,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"     Vĩnh Phúc",7519,4071,2562,886,7560,4003,2596,961,7386,3773,2625,988,7147,3610,2523,1014,6996,3524,2436,1036,6903,3447,2391,1065,5789,2909,1958,922,5687,2886,1895,906,5661,2936,1847,878,5602,2927,1829,846,5598,2943,1808,847,5681,3042,1797,842,5741,3114,1816,811,5547,3030,1708,809,5715,3123,1785,807,5840,3237,1793,810,6033,3420,1837,776,6286,3572,1938,776
"     Bắc Ninh",6083,3149,2067,867,6080,3057,2123,900,6022,2932,2124,966,5933,2822,2086,1025,5852,2755,2021,1076,5735,2684,1952,1099,5654,2665,1916,1073,5613,2697,1889,1027,5590,2729,1872,989,5570,2728,1871,971,5619,2790,1863,966,5686,2870,1870,946,5709,2895,1890,924,5898,3063,1905,930,5998,3141,1934,923,6134,3203,1980,951,6151,3268,1986,897,6446,3423,2035,988
"     Quảng Ninh",7580,4564,2204,812,7570,4433,2289,848,7607,4332,2359,916,7512,4144,2369,999,7392,4032,2304,1056,7434,4065,2304,1065,7328,4094,2181,1053,7195,4008,2161,1026,7228,4122,2073,1033,7766,4298,2441,1027,7361,4226,2104,1031,7487,4314,2139,1034,7282,4172,2094,1016,7384,4225,2127,1032,7409,4288,2074,1047,7432,4275,2103,1054,7604,4419,2127,1058,7604,4354,2212,1038
"     Hải Dương",9645,4836,3627,1182,9378,4616,3555,1207,9137,4347,3510,1280,8859,4193,3353,1313,8726,4113,3252,1361,8689,4135,3181,1373,8564,4135,3077,1352,8642,4205,3062,1375,8669,4322,3051,1296,8719,4382,3081,1256,8510,4323,2932,1255,8621,4554,2873,1194,9011,4939,2853,1219,8803,4782,2805,1216,8987,4936,2811,1240,9279,5155,2878,1246,9473,5308,2906,1259,9446,5294,2915,1237
"     Hải Phòng",9449,4686,3533,1230,9271,4469,3509,1293,9117,4242,3481,1394,8878,3994,3364,1520,8691,3875,3231,1585,8463,3786,3077,1600,8240,3769,2880,1591,8316,3817,2910,1589,8083,3938,2574,1571,8273,4164,2619,1490,7913,4060,2454,1399,8649,4356,2969,1324,8274,4440,2560,1274,8253,4461,2562,1230,8576,4670,2612,1294,9379,5347,2688,1344,9182,5039,2757,1386,9465,5192,2871,1402
"     Hưng Yên",6355,3322,2286,747,6252,3171,2302,779,6201,3081,2284,836,6055,2914,2209,932,6029,2901,2110,1018,5807,2764,2018,1025,5626,2730,1928,968,5497,2712,1861,924,5391,2719,1795,877,5354,2721,1769,864,5377,2767,1729,881,5639,2901,1897,841,5651,2927,1887,837,5828,3053,1939,836,5719,3079,1803,837,5868,3154,1866,848,6092,3311,1921,860,6257,3383,2002,872
