"Ðịa phương","2002 Tổng số","2002 Tiểu học","2002 Trung học cơ sở","2002 Trung học phổ thông","2002 Phổ thông cơ sở","2002 Trung học","2003 Tổng số","2003 Tiểu học","2003 Trung học cơ sở","2003 Trung học phổ thông","2003 Phổ thông cơ sở","2003 Trung học","2004 Tổng số","2004 Tiểu học","2004 Trung học cơ sở","2004 Trung học phổ thông","2004 Phổ thông cơ sở","2004 Trung học","2005 Tổng số","2005 Tiểu học","2005 Trung học cơ sở","2005 Trung học phổ thông","2005 Phổ thông cơ sở","2005 Trung học","2006 Tổng số","2006 Tiểu học","2006 Trung học cơ sở","2006 Trung học phổ thông","2006 Phổ thông cơ sở","2006 Trung học","2007 Tổng số","2007 Tiểu học","2007 Trung học cơ sở","2007 Trung học phổ thông","2007 Phổ thông cơ sở","2007 Trung học","2008 Tổng số","2008 Tiểu học","2008 Trung học cơ sở","2008 Trung học phổ thông","2008 Phổ thông cơ sở","2008 Trung học","2009 Tổng số","2009 Tiểu học","2009 Trung học cơ sở","2009 Trung học phổ thông","2009 Phổ thông cơ sở","2009 Trung học","2010 Tổng số","2010 Tiểu học","2010 Trung học cơ sở","2010 Trung học phổ thông","2010 Phổ thông cơ sở","2010 Trung học","2011 Tổng số","2011 Tiểu học","2011 Trung học cơ sở","2011 Trung học phổ thông","2011 Phổ thông cơ sở","2011 Trung học","2012 Tổng số","2012 Tiểu học","2012 Trung học cơ sở","2012 Trung học phổ thông","2012 Phổ thông cơ sở","2012 Trung học","2013 Tổng số","2013 Tiểu học","2013 Trung học cơ sở","2013 Trung học phổ thông","2013 Phổ thông cơ sở","2013 Trung học","2014 Tổng số","2014 Tiểu học","2014 Trung học cơ sở","2014 Trung học phổ thông","2014 Phổ thông cơ sở","2014 Trung học","2015 Tổng số","2015 Tiểu học","2015 Trung học cơ sở","2015 Trung học phổ thông","2015 Phổ thông cơ sở","2015 Trung học","2016 Tổng số","2016 Tiểu học","2016 Trung học cơ sở","2016 Trung học phổ thông","2016 Phổ thông cơ sở","2016 Trung học","2017 Tổng số","2017 Tiểu học","2017 Trung học cơ sở","2017 Trung học phổ thông","2017 Phổ thông cơ sở","2017 Trung học","2018 Tổng số","2018 Tiểu học","2018 Trung học cơ sở","2018 Trung học phổ thông","2018 Phổ thông cơ sở","2018 Trung học"
"CẢ NƯỚC",25825,14163,8396,1532,1197,537,26352,14346,8745,1664,1143,454,26817,14518,9041,1828,1034,396,27227,14688,9383,1952,889,315,27593,14834,9635,2044,773,307,27898,14933,9781,2149,727,308,28114,15051,9902,2192,674,295,28408,15172,10064,2267,611,294,28593,15242,10143,2288,601,319,28803,15337,10243,2350,554,319,28916,15361,10290,2361,557,347,28977,15337,10290,2404,592,354,28922,15277,10293,2386,585,381,28951,15254,10312,2399,597,389,28791,15052,10155,2391,773,420,28710,14937,10091,2398,848,436,26815,13093,9120,2376,1738,488
"Ðồng bằng sông Hồng",5604,2647,2363,489,90,15,5635,2662,2377,500,85,11,5671,2667,2380,530,80,14,5688,2684,2395,507,75,27,5725,2694,2407,547,66,11,5779,2705,2418,581,65,10,5778,2705,2420,579,63,11,5815,2715,2426,599,57,18,5819,2719,2423,570,63,44,5840,2730,2434,577,62,37,5864,2737,2441,577,59,50,5922,2762,2448,614,61,37,5886,2756,2445,592,51,42,5892,2752,2446,595,57,42,5886,2758,2432,591,58,47,5899,2770,2427,596,62,44,5604,2464,2202,593,281,64
"     Hà Nội",595,272,221,98,3,1,596,271,225,97,3,..,582,269,215,96,2,..,588,273,214,81,4,16,595,277,218,100,..,..,602,280,219,103,..,..,1440,674,584,182,..,..,1461,677,581,186,7,10,1471,681,589,162,7,32,1483,687,595,167,7,27,1498,692,599,168,6,33,1531,696,605,205,6,19,1522,707,607,183,..,25,1549,717,617,183,7,25,1546,720,610,180,8,28,1556,727,605,187,12,25,1608,754,610,196,18,30
"     Hà Tây",751,354,335,58,2,2,755,357,335,59,2,2,758,358,336,59,2,3,760,358,337,61,2,2,763,359,337,63,2,2,769,361,337,67,2,2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"     Vĩnh Phúc",374,187,151,32,3,1,381,189,152,36,3,1,390,193,155,38,3,1,398,199,158,38,2,1,412,204,162,43,2,1,417,205,167,43,1,1,356,173,144,37,1,1,357,173,145,38,1,..,355,174,145,36,..,..,355,174,145,36,..,..,358,173,146,37,1,1,359,173,146,37,1,2,359,173,146,37,1,2,360,174,146,37,1,2,362,176,146,37,1,2,359,176,147,34,1,1,328,149,135,31,12,1
"     Bắc Ninh",308,149,130,29,..,..,308,149,131,28,..,..,310,149,132,29,..,..,317,150,133,34,..,..,318,150,133,35,..,..,322,150,136,36,..,..,321,150,134,37,..,..,321,150,134,37,..,..,319,148,134,37,..,..,322,152,134,36,..,..,321,152,134,35,..,..,322,153,134,35,..,..,323,153,135,35,..,..,326,154,135,35,..,2,327,155,135,35,..,2,327,155,135,35,..,2,324,151,134,34,2,3
"     Quảng Ninh",361,142,111,30,71,7,375,150,122,33,66,4,384,154,127,33,63,7,392,158,135,37,57,5,396,161,137,40,52,6,405,164,139,45,52,5,407,164,139,44,52,8,413,172,140,44,49,8,416,173,143,45,46,9,421,177,146,46,45,7,427,180,149,46,41,11,435,183,153,46,42,11,429,183,151,47,38,10,425,180,150,47,38,10,426,180,150,46,38,12,424,180,148,46,38,12,414,167,141,41,48,17
"     Hải Dương",589,278,270,41,..,..,590,278,270,42,..,..,595,279,273,43,..,..,595,279,273,43,..,..,598,279,273,46,..,..,602,279,273,50,..,..,604,279,273,52,..,..,605,279,273,53,..,..,604,279,272,53,..,..,605,279,272,54,..,..,605,279,272,54,..,..,604,279,271,54,..,..,607,281,272,54,..,..,608,282,272,54,..,..,609,283,272,54,..,..,611,284,273,54,..,..,564,250,249,54,11,..
"     Hải Phòng",470,217,189,49,11,4,473,217,190,51,11,4,472,217,190,52,10,3,476,218,192,53,10,3,476,216,194,54,10,2,482,218,194,58,10,2,479,218,194,55,10,2,479,218,204,57,..,..,478,219,193,53,10,3,475,218,193,51,10,3,477,218,193,50,11,5,489,232,190,51,11,5,488,231,190,52,11,4,468,216,184,55,11,2,468,216,184,55,11,2,473,218,184,57,11,3,479,220,183,58,11,7
"     Hưng Yên",359,166,167,26,..,..,363,169,167,27,..,..,385,169,167,49,..,..,366,169,168,29,..,..,367,169,168,30,..,..,371,169,169,33,..,..,364,169,169,26,..,..,375,169,169,37,..,..,375,169,169,37,..,..,375,169,169,37,..,..,375,169,169,37,..,..,379,169,171,38,1,..,380,169,171,38,1,1,380,170,171,38,..,1,380,170,171,38,..,1,379,170,171,37,..,1,359,152,157,35,11,4
