"Tỉnh, thành phố","Tổng số 1995","Tổng số 1996","Tổng số 1997","Tổng số 1998","Tổng số 1999","Tổng số 2000","Tổng số 2001","Tổng số 2002","Tổng số 2003","Tổng số 2004","Tổng số 2005","Tổng số 2006","Tổng số 2007","Tổng số 2008","Tổng số 2009","Tổng số 2010","Tổng số 2011","Tổng số 2012","Tổng số 2013","Tổng số 2014","Tổng số 2015","Tổng số 2016","Tổng số 2017","Tổng số 2018","Tổng số Sơ bộ 2019","Nam 1995","Nam 1996","Nam 1997","Nam 1998","Nam 1999","Nam 2000","Nam 2001","Nam 2002","Nam 2003","Nam 2004","Nam 2005","Nam 2006","Nam 2007","Nam 2008","Nam 2009","Nam 2010","Nam 2011","Nam 2012","Nam 2013","Nam 2014","Nam 2015","Nam 2016","Nam 2017","Nam 2018","Nam Sơ bộ 2019","Nữ 1995","Nữ 1996","Nữ 1997","Nữ 1998","Nữ 1999","Nữ 2000","Nữ 2001","Nữ 2002","Nữ 2003","Nữ 2004","Nữ 2005","Nữ 2006","Nữ 2007","Nữ 2008","Nữ 2009","Nữ 2010","Nữ 2011","Nữ 2012","Nữ 2013","Nữ 2014","Nữ 2015","Nữ 2016","Nữ 2017","Nữ 2018","Nữ Sơ bộ 2019","Thành thị 1995","Thành thị 1996","Thành thị 1997","Thành thị 1998","Thành thị 1999","Thành thị 2000","Thành thị 2001","Thành thị 2002","Thành thị 2003","Thành thị 2004","Thành thị 2005","Thành thị 2006","Thành thị 2007","Thành thị 2008","Thành thị 2009","Thành thị 2010","Thành thị 2011","Thành thị 2012","Thành thị 2013","Thành thị 2014","Thành thị 2015","Thành thị 2016","Thành thị 2017","Thành thị 2018","Thành thị Sơ bộ 2019","Nông thôn 1995","Nông thôn 1996","Nông thôn 1997","Nông thôn 1998","Nông thôn 1999","Nông thôn 2000","Nông thôn 2001","Nông thôn 2002","Nông thôn 2003","Nông thôn 2004","Nông thôn 2005","Nông thôn 2006","Nông thôn 2007","Nông thôn 2008","Nông thôn 2009","Nông thôn 2010","Nông thôn 2011","Nông thôn 2012","Nông thôn 2013","Nông thôn 2014","Nông thôn 2015","Nông thôn 2016","Nông thôn 2017","Nông thôn 2018","Nông thôn Sơ bộ 2019"
"CẢ NƯỚC",71995.5,73156.7,74306.9,75456.3,76596.7,77630.9,78620.5,79537.7,80467.4,81436.4,82392.1,83311.2,84218.5,85118.7,86025.0,86947.4,87860.4,88809.3,89759.5,90728.9,92228.6,93250.7,94286.0,95385.2,96484.0,35237.4,35857.3,36473.1,37089.7,37662.1,38165.3,38656.4,39112.2,39535.0,40042.0,40521.5,40999.0,41447.3,41956.1,42523.4,42993.5,43446.8,43908.2,44364.9,44758.1,45753.8,46294.7,46848.0,47427.1,48017.7,36758.1,37299.4,37833.8,38366.6,38934.6,39465.6,39964.1,40425.5,40932.4,41394.4,41870.6,42312.2,42771.2,43162.6,43501.6,43953.9,44413.6,44901.1,45394.6,45970.8,46474.8,46956.0,47438.0,47958.1,48466.3,14938.1,15419.9,16835.4,17464.6,18081.6,18725.4,19299.1,19873.2,20725.0,21601.2,22332.0,23045.8,23746.3,24673.1,25584.7,26515.9,27719.3,28269.2,28874.9,30035.4,30881.9,31397.0,31928.3,32636.9,33816.6,57057.4,57736.8,57471.5,57991.7,58515.1,58905.5,59321.4,59664.5,59742.4,59835.2,60060.1,60265.4,60472.2,60445.6,60440.3,60431.5,60141.1,60540.1,60884.6,60693.5,61346.7,61853.7,62357.7,62748.3,62667.4
"Ðồng bằng sông Hồng",17078.4,17289.8,17494.8,17692.9,17877.8,18060.7,18249.9,18432.9,18617.5,18807.9,18976.7,19108.9,19228.8,19473.7,19618.1,19851.9,20066.1,20274.9,20481.9,20705.2,21368.4,21669.2,21968.6,22290.7,22620.2,8300.1,8416.9,8530.3,8645.4,8743.4,8840.5,8934.4,9026.6,9116.3,9213.1,9308.2,9369.0,9432.0,9544.7,9649.9,9760.2,9907.1,9962.3,10089.5,10149.6,10554.0,10710.8,10870.9,11036.4,11214.5,8778.3,8872.9,8964.5,9047.5,9134.4,9220.2,9315.5,9406.3,9501.2,9594.8,9668.5,9739.9,9796.8,9929.0,9968.2,10091.7,10159.1,10312.6,10392.4,10555.6,10814.4,10958.4,11097.7,11254.4,11405.7,3093.2,3229.7,3536.0,3690.1,3800.4,3923.8,4048.4,4224.9,4428.1,4764.9,4917.0,5041.6,5206.6,5584.4,5752.4,6050.4,6141.7,6339.0,6341.7,6735.6,7254.2,7411.7,7569.2,7773.5,8130.3,13985.2,14060.1,13958.8,14002.8,14077.4,14136.9,14201.5,14208.0,14189.4,14043.0,14059.7,14067.3,14022.2,13889.3,13865.7,13801.5,13924.5,13935.9,14140.2,13969.6,14114.1,14257.5,14399.4,14517.3,14489.9
"Hà Nội",2431.0,2492.9,2556.0,2621.5,2685.0,2767.7,2852.9,2928.3,3000.3,3071.4,3133.4,3184.8,3228.5,6381.8,6472.0,6633.6,6761.3,6865.2,6977.0,7095.9,7433.6,7590.8,7742.2,7914.5,8093.9,1213.4,1245.6,1278.1,1312.4,1343.8,1384.5,1427.1,1464.9,1500.5,1539.5,1568.0,1596.6,1618.3,3124.9,3180.0,3247.8,3342.8,3351.7,3424.2,3457.0,3672.2,3753.2,3831.5,3920.3,4012.7,1217.6,1247.3,1277.9,1309.1,1341.2,1383.2,1425.8,1463.4,1499.8,1531.9,1565.4,1588.2,1610.2,3256.9,3292.0,3385.8,3418.5,3513.4,3552.8,3638.9,3761.4,3837.6,3910.7,3994.2,4081.2,1274.9,1343.1,1455.8,1496.4,1552.1,1603.0,1650.0,1719.5,1830.2,1992.3,2046.1,2077.5,2106.5,2596.2,2652.8,2827.9,2864.8,2908.1,2826.5,3156.0,3650.5,3733.0,3810.0,3904.8,4000.3,1156.1,1149.8,1100.2,1125.1,1132.9,1164.7,1202.9,1208.8,1170.1,1079.1,1087.3,1107.3,1122.0,3785.6,3819.2,3805.7,3896.6,3957.0,4150.5,3939.9,3783.1,3857.7,3932.2,4009.6,4093.6
"Hà Tây",2299.0,2328.0,2353.0,2373.6,2391.7,2430.2,2475.5,2527.0,2587.3,2649.1,2702.9,2742.4,2773.7,..,..,..,..,..,..,..,..,..,..,..,..,1091.7,1109.4,1127.4,1143.8,1158.6,1183.8,1205.9,1231.0,1252.7,1276.7,1310.9,1321.7,1336.8,..,..,..,..,..,..,..,..,..,..,..,..,1207.3,1218.6,1225.6,1229.8,1233.1,1246.4,1269.6,1296.0,1334.6,1372.4,1392.0,1420.7,1436.9,..,..,..,..,..,..,..,..,..,..,..,..,162.4,169.8,179.0,184.5,192.5,194.5,203.7,211.2,216.8,270.1,278.6,285.7,291.5,..,..,..,..,..,..,..,..,..,..,..,..,2136.6,2158.2,2174.0,2189.1,2199.2,2235.7,2271.8,2315.8,2370.5,2379.0,2424.3,2456.7,2482.2,..,..,..,..,..,..,..,..,..,..,..,..
"Vĩnh Phúc",1048.2,1061.9,1075.8,1085.7,1094.3,1104.1,1114.1,1124.3,1134.1,1145.2,1157.0,1166.0,1174.1,993.8,1000.4,1007.6,1011.4,1022.4,1029.4,1041.9,1090.4,1106.1,1123.1,1138.4,1154.8,509.2,516.4,523.6,529.3,533.4,537.8,543.1,548.0,557.2,567.1,572.9,577.4,581.4,492.1,494.2,497.6,499.5,504.9,508.4,512.4,536.2,543.9,555.4,563.7,575.5,539.0,545.5,552.2,556.4,560.9,566.3,571.0,576.3,576.9,578.1,584.1,588.6,592.7,501.7,506.2,510.0,511.9,517.5,521.0,529.5,554.2,562.2,567.8,574.6,579.4,79.5,83.8,101.9,106.5,112.5,119.7,121.9,124.6,137.6,160.8,166.7,171.4,206.5,222.9,224.6,231.2,232.8,238.7,243.8,242.9,254.2,257.9,261.7,285.2,295.2,968.7,978.1,973.9,979.2,981.8,984.4,992.2,999.7,996.5,984.4,990.3,994.6,967.6,770.9,775.8,776.4,778.6,783.7,785.6,799.0,836.1,848.3,861.4,853.2,859.6
"Bắc Ninh",916.0,925.3,931.7,937.6,943.0,950.6,958.9,967.6,975.3,983.2,991.1,999.8,1009.4,1018.1,1026.5,1044.2,1063.4,1085.8,1108.2,1131.2,1218.5,1257.9,1297.8,1337.3,1378.6,432.6,439.5,445.4,451.1,456.4,461.6,465.6,469.9,472.0,478.7,481.7,486.8,491.4,498.0,503.9,514.0,522.9,534.1,544.5,556.2,600.4,620.2,640.3,657.8,681.0,483.4,485.8,486.3,486.5,486.6,489.0,493.3,497.7,503.3,504.5,509.4,513.0,518.0,520.1,522.6,530.2,540.5,551.7,563.7,575.0,618.1,637.6,657.4,679.6,697.6,41.3,46.6,58.5,88.0,88.9,96.4,106.8,118.4,131.1,145.1,160.7,178.1,197.4,218.8,241.5,270.2,277.1,282.3,289.3,311.4,336.1,345.5,355.3,365.6,380.9,874.7,878.7,873.2,849.6,854.1,854.2,852.1,849.2,844.2,838.1,830.4,821.7,812.0,799.3,785.0,774.0,786.3,803.4,818.8,819.8,882.4,912.4,942.5,971.7,997.7
"Quảng Ninh",941.7,958.0,974.4,991.4,1007.2,1024.2,1039.3,1054.4,1068.4,1081.8,1096.1,1109.3,1122.5,1135.1,1146.1,1157.2,1168.0,1177.7,1187.5,1199.4,1241.6,1261.2,1285.2,1303.9,1324.8,481.8,490.0,498.1,506.7,514.0,522.5,530.2,537.9,544.0,547.9,557.9,561.9,568.5,577.9,585.0,592.2,599.3,598.8,610.9,601.1,632.4,642.1,654.1,663.4,673.8,459.9,468.0,476.3,484.7,493.2,501.7,509.1,516.5,524.4,533.9,538.2,547.4,554.0,557.2,561.1,565.0,568.7,578.9,576.6,598.3,609.2,619.1,631.1,640.6,651.1,404.1,411.5,426.8,434.4,446.0,473.0,484.6,496.3,507.7,519.0,530.9,542.5,554.2,565.8,594.3,602.1,609.5,724.5,731.2,734.3,733.5,761.5,792.9,822.1,853.7,537.6,546.5,547.6,557.0,561.2,551.2,554.7,558.1,560.7,562.8,565.2,566.8,568.3,569.3,551.8,555.2,558.5,453.2,456.2,465.1,508.1,499.8,492.3,481.8,471.2
"Hải Dương",1609.1,1619.5,1630.5,1641.3,1651.0,1656.9,1662.7,1668.1,1673.7,1680.4,1685.5,1689.7,1694.7,1700.8,1706.8,1716.4,1729.8,1741.7,1751.8,1763.2,1812.8,1832.8,1850.6,1877.7,1896.9,785.0,790.3,795.1,799.1,802.0,800.0,802.5,806.5,809.3,813.0,821.7,824.6,827.7,831.4,835.1,841.1,847.6,853.4,856.9,862.8,895.3,906.6,916.8,931.7,942.7,824.1,829.2,835.4,842.2,849.0,856.9,860.2,861.6,864.4,867.4,863.8,865.1,867.0,869.4,871.7,875.3,882.2,888.3,894.9,900.4,917.5,926.2,933.8,946.0,954.2,133.2,146.4,182.8,224.7,229.3,229.8,230.9,231.6,235.2,259.7,266.4,268.1,278.9,315.4,323.7,361.5,379.2,383.0,388.1,407.4,409.8,426.6,443.6,463.4,594.2,1475.9,1473.1,1447.7,1416.6,1421.7,1427.1,1431.8,1436.5,1438.5,1420.7,1419.1,1421.6,1415.8,1385.4,1383.1,1354.9,1350.6,1358.7,1363.7,1355.8,1403.0,1406.2,1407.0,1414.3,1302.7
"Hải Phòng",1608.2,1625.0,1641.9,1659.5,1676.7,1691.5,1708.6,1725.3,1741.0,1757.8,1773.4,1789.1,1806.5,1824.1,1840.4,1857.8,1879.8,1904.1,1925.2,1946.0,1969.5,1985.3,2001.4,2016.4,2033.3,790.2,799.6,808.9,818.8,827.3,837.3,845.7,854.0,859.0,868.8,876.6,884.3,892.9,903.1,912.6,921.6,932.9,945.3,956.1,966.8,977.7,985.8,994.0,1001.6,1010.2,818.0,825.4,833.0,840.7,849.4,854.2,862.9,871.3,882.0,889.0,896.8,904.8,913.6,921.0,927.8,936.2,946.9,958.8,969.1,979.2,991.8,999.6,1007.4,1014.8,1023.1,524.4,532.2,550.2,558.1,571.8,594.0,618.4,643.6,669.4,696.6,724.4,753.3,784.0,815.9,848.5,859.8,871.3,885.0,897.3,909.1,901.9,908.1,914.4,920.3,926.9,1083.8,1092.8,1091.7,1101.4,1104.9,1097.5,1090.2,1081.7,1071.6,1061.2,1049.0,1035.8,1022.5,1008.2,991.9,998.0,1008.5,1019.1,1027.9,1036.9,1067.6,1077.2,1087.0,1096.2,1106.4
"Hưng Yên",1033.2,1042.6,1052.2,1061.7,1071.4,1079.0,1086.0,1091.5,1097.0,1104.3,1111.0,1116.4,1121.3,1126.2,1128.6,1132.3,1138.4,1144.1,1151.6,1158.1,1202.0,1215.5,1228.8,1242.4,1255.8,496.1,501.6,506.6,512.4,517.6,521.0,524.4,527.1,532.5,533.9,538.8,539.8,542.1,544.3,552.9,556.2,560.8,564.8,568.9,571.1,596.5,604.7,613.2,620.6,628.7,537.1,541.0,545.6,549.3,553.8,558.0,561.6,564.4,564.5,570.4,572.2,576.6,579.2,581.9,575.7,576.0,577.6,579.3,582.7,587.0,605.5,610.8,615.6,621.8,627.1,23.5,41.0,78.8,90.4,93.4,103.6,107.1,110.7,114.3,118.2,122.2,126.2,130.2,134.4,136.3,139.6,144.1,148.6,150.0,151.8,146.1,147.9,149.5,151.5,207.3,1009.7,1001.6,973.4,971.3,978.0,975.4,978.9,980.8,982.7,986.1,988.8,990.2,991.1,991.8,992.3,992.7,994.3,995.5,1001.6,1006.2,1055.9,1067.6,1079.3,1090.9,1048.5
