"Tỉnh/thành phố","2010","2015","2016","2017","2018"
"CẢ NƯỚC",9741782,12856856,14012276,14518326,14817812
"Đồng bằng sông Hồng",2849782,4165419,4565748,4815809,4936166
"Hà Nội",1502832,2163380,2321533,2400215,2450715
"Vĩnh Phúc",75351,129228,159405,185898,194442
"Bắc Ninh",112902,281341,330826,399089,387507
"Quảng Ninh",205568,240296,245588,243286,239139
"Hải Dương",189091,270609,307220,326019,352250
"Hải Phòng",293765,369064,423994,443650,467848
"Hưng Yên",96819,173072,194770,199588,202479
"Thái Bình",110041,156882,172019,174480,179118
"Hà Nam",51825,98727,112841,123979,126230
"Nam Định",104680,138458,156330,172039,184945
"Ninh Bình",106908,144362,141222,147566,151493
"Trung du và miền núi phía Bắc",525311,760649,818712,875079,878177
"Hà Giang",29441,31611,24471,22177,22301
"Cao Bằng",17960,18103,17407,17455,17231
"Bắc Kạn",8759,7900,7156,7222,7385
"Tuyên Quang",21709,29515,28126,26727,24809
"Lào Cai",43283,56672,55781,60526,51347
"Yên Bái",28197,27373,29887,34497,34770
"Thái Nguyên",66642,171520,195684,214085,212270
"Lạng Sơn",18106,21513,24806,24607,22789
"Bắc Giang",80791,143125,174718,194714,216200
"Phú Thọ",106271,125599,134552,141400,142366
"Điện Biên",25501,38356,40317,42420,39902
"Lai Châu",13425,14856,12273,12080,10830
"Sơn La",31452,29867,27986,28181,26631
"Hòa Bình",33774,44639,45548,48988,49346
"Bắc Trung Bộ và duyên hải miền Trung",1192381,1503638,1640828,1688910,1699014
"Thanh Hóa",202561,217891,267678,287608,293964
"Nghệ An",125371,183516,188948,202029,196192
"Hà Tĩnh",51145,73750,70175,72840,72487
"Quảng Bình",42722,40343,42286,43443,43920
"Quảng Trị",28559,29497,28210,28116,29477
"Thừa Thiên - Huế",69033,84733,85421,87555,90187
"Đà Nẵng",209537,289648,320249,314965,296023
"Quảng Nam",85015,124357,147623,150948,157110
"Quảng Ngãi",48366,57026,65424,70068,77367
"Bình Định",106482,123535,123655,125461,127468
"Phú Yên",42949,34946,35990,36473,38098
"Khánh Hòa",110764,150073,168898,172156,177782
"Ninh Thuận",19925,23955,24219,24746,24752
"Bình Thuận",49952,70368,72052,72502,74187
"Tây Nguyên",236833,239437,240520,240172,238282
"Kon Tum",29044,30145,28973,29024,29690
"Gia Lai",68183,69467,60445,58936,52400
"Đắk Lắk",79847,68253,71064,72588,75334
"Đắk Nông",11417,16553,18511,18498,15570
"Lâm Đồng",48342,55019,61527,61126,65288
"Đông Nam Bộ",3904691,4937556,5304055,5386976,5453273
"Bình Phước",65722,105276,118058,119522,120308
"Tây Ninh",85871,174589,178880,185517,191145
"Bình Dương",728504,996020,1056201,1105958,1122043
"Đồng Nai",560781,744174,822858,836860,860205
"Bà Rịa - Vũng Tàu",180738,188894,195527,202571,201445
"TP. Hồ Chí Minh",2283075,2728603,2932531,2936548,2958127
"Đồng bằng sông Cửu Long",700022,1021386,1101755,1157085,1223979
"Long An",153818,252546,274993,287861,330428
"Tiền Giang",74422,155152,163222,173099,183549
"Bến Tre",34573,65753,71860,75355,81725
"Trà Vinh",31572,56175,55377,53333,48722
"Vĩnh Long",45119,60148,66154,63906,68223
"Đồng Tháp",53113,61412,66590,69675,66781
"An Giang",48245,60633,62057,65718,68548
"Kiên Giang",55546,75683,83746,91604,98181
"Cần Thơ",96348,100468,112215,118787,115034
"Hậu Giang",15884,34614,37648,42703,45043
"Sóc Trăng",33814,31901,33380,34711,37224
"Bạc Liêu",14164,19424,27350,28753,31717
"Cà Mau",43404,47477,47163,51580,48804
"Không xác định",332762,228771,340658,354295,388921
