"Tỉnh, thành phố","2013 Tổng số","2013 Cấp tỉnh","2013 Cấp huyện","2014 Tổng số","2014 Cấp tỉnh","2014 Cấp huyện","2015 Tổng số","2015 Cấp tỉnh","2015 Cấp huyện","2016 Tổng số","2016 Cấp tỉnh","2016 Cấp huyện","2017 Tổng số","2017 Cấp tỉnh","2017 Cấp huyện","Sơ bộ 2018 Tổng số","Sơ bộ 2018 Cấp tỉnh","Sơ bộ 2018 Cấp huyện","Sơ bộ 2019 Tổng số","Sơ bộ 2019 Cấp tỉnh","Sơ bộ 2019 Cấp huyện"
"CẢ NƯỚC",18308,1499,16809,19960,1552,18408,24101,1440,22661,24308,1665,22643,27948,1800,26148,28076,1933,26143,25702,2138,23564
"Đồng bằng sông Hồng",3475,372,3103,3707,395,3312,3686,287,3399,4058,311,3747,4951,374,4577,4796,332,4464,4661,628,4033
"Hà Nội",953,86,867,1018,85,933,875,45,830,884,41,843,1273,91,1182,963,14,949,1017,118,899
"Vĩnh Phúc",295,6,289,274,7,267,253,4,249,274,2,272,257,5,252,273,4,269,267,7,260
"Bắc Ninh",110,8,102,147,..,147,133,1,132,151,5,146,202,18,184,251,9,242,210,11,199
"Quảng Ninh",164,19,145,192,20,172,284,15,269,333,27,306,350,16,334,419,17,402,397,36,361
"Hải Dương",262,42,220,333,60,273,338,66,272,378,72,306,409,34,375,415,70,345,467,169,298
"Hải Phòng",558,163,395,670,178,492,606,80,526,774,105,669,891,132,759,870,136,734,777,158,619
"Hưng Yên",230,11,219,194,2,192,194,11,183,213,5,208,276,3,273,300,10,290,237,5,232
"Thái Bình",443,33,410,371,37,334,463,46,417,469,44,425,573,55,518,579,60,519,446,55,391
"Hà Nam",91,1,90,109,5,104,76,3,73,87,2,85,116,6,110,145,..,145,203,23,180
"Nam Định",314,3,311,312,1,311,357,14,343,373,6,367,454,10,444,424,10,414,499,43,456
"Ninh Bình",55,..,55,87,..,87,107,2,105,122,2,120,150,4,146,157,2,155,141,3,138
"Trung du và miền núi phía Bắc",1656,47,1609,1761,52,1709,2057,49,2008,2127,72,2055,2453,54,2399,2712,81,2631,2694,129,2565
